title,current price,full day fee,fluctuation rate,face value,market cap,number of listed shares,foreigner ratio,trading volume,PER,ROE
삼성전자,"65,500",하락100,-0.15%,100,"3,910,208","5,969,783",51.60,"945,439",8.13,17.07
LG에너지솔루션,"587,000","하락5,000",-0.84%,500,"1,373,580","234,000",5.41,"26,554",177.61,5.75
SK하이닉스,"88,000",상승400,+0.46%,"5,000","640,642","728,002",49.54,"111,380",28.73,3.56
LG화학,"818,000","하락7,000",-0.85%,"5,000","577,445","70,592",48.45,"26,370",34.70,6.95
삼성바이오로직스,"791,000","하락2,000",-0.25%,"2,500","562,986","71,174",10.68,"4,428",69.32,11.42
삼성SDI,"761,000","하락5,000",-0.65%,"5,000","523,298","68,765",49.57,"18,678",27.44,12.52
삼성전자우,"55,400",하락300,-0.54%,100,"455,879","822,887",71.79,"69,410",6.88,N/A
현대차,"191,700",상승300,+0.16%,"5,000","405,506","211,532",31.33,"44,404",7.21,9.36
POSCO홀딩스,"424,500","상승10,000",+2.41%,"5,000","359,005","84,571",41.02,"326,071",11.64,6.11
기아,"82,900",상승200,+0.24%,"5,000","336,046","405,363",37.05,"82,745",6.21,14.57
NAVER,"192,000",하락800,-0.41%,100,"314,974","164,049",47.41,"44,890",41.43,3.29
포스코퓨처엠,"401,000","상승19,000",+4.97%,500,"310,628","77,463",8.48,"307,544",262.61,4.87
카카오,"58,600",하락400,-0.68%,100,"261,155","445,657",26.15,"131,876",19.30,13.54
셀트리온,"170,800",하락200,-0.12%,"1,000","240,520","140,819",20.41,"49,223",46.45,13.35
현대모비스,"228,000","상승3,000",+1.33%,"5,000","214,970","94,285",36.85,"16,235",8.67,6.80
삼성물산,"108,600","상승1,000",+0.93%,100,"202,959","186,887",17.63,"12,416",10.02,7.16
KB금융,"49,400","상승1,000",+2.07%,"5,000","201,995","408,897",71.67,"199,956",4.62,9.17
LG전자,"113,300","상승1,700",+1.52%,"5,000","185,413","163,648",28.10,"140,122",17.13,6.61
신한지주,"35,700",상승450,+1.28%,"5,000","180,324","505,108",62.41,"125,314",4.08,9.70
SK이노베이션,"188,900",상승900,+0.48%,"5,000","174,667","92,466",23.88,"60,028",11.28,8.49
LG,"91,300",상승300,+0.33%,"5,000","143,616","157,301",35.72,"14,463",7.39,8.48
삼성생명,"64,800",상승200,+0.31%,500,"129,600","200,000",15.55,"8,567",8.18,5.73
SK,"171,400","상승1,400",+0.82%,200,"125,462","73,198",23.36,"9,281",11.66,5.13
하나금융지주,"42,100",상승100,+0.24%,"5,000","124,575","295,903",70.98,"48,382",3.52,10.06
한국전력,"18,770",상승280,+1.51%,"5,000","120,497","641,964",14.45,"177,128",-0.49,-46.91
두산에너빌리티,"18,780",상승140,+0.75%,"5,000","119,874","638,308",13.04,"1,258,441",-15.06,-11.70
KT&G,"86,200",상승500,+0.58%,"5,000","118,346","137,292",44.34,"25,950",11.65,11.00
카카오뱅크,"23,800",상승50,+0.21%,"5,000","113,471","476,767",13.50,"57,232",43.04,4.68
삼성전기,"147,700",상승100,+0.07%,"5,000","110,323","74,694",29.96,"27,929",11.69,13.76
고려아연,"554,000","상승8,000",+1.47%,"5,000","110,042","19,863",21.85,"4,632",13.65,9.38
LG생활건강,"683,000","상승3,000",+0.44%,"5,000","106,672","15,618",35.00,"9,803",51.15,4.41
SK텔레콤,"48,700",하락50,-0.10%,100,"106,572","218,833",44.18,"37,677",11.68,7.97
하이브,"257,500","하락1,000",-0.39%,500,"106,485","41,353",17.29,"11,975",203.56,1.87
HMM,"21,550",하락50,-0.23%,"5,000","105,388","489,039",11.15,"178,346",1.04,64.98
삼성화재,"212,000","상승1,000",+0.47%,500,"100,435","47,375",51.98,"2,927",8.37,9.70
크래프톤,"191,400","상승3,000",+1.59%,100,"94,240","49,237",30.58,"9,632",18.78,10.29
HD현대중공업,"105,800",상승400,+0.38%,"5,000","93,922","88,773",6.28,"4,770",-26.68,-6.47
한화솔루션,"54,200",하락500,-0.91%,"5,000","93,166","171,893",24.74,"308,027",29.08,4.21
삼성에스디에스,"118,400","상승1,000",+0.85%,500,"91,615","77,378",15.46,"12,334",8.33,14.23
S-Oil,"80,800",상승300,+0.37%,"2,500","90,967","112,583",79.85,"12,356",4.48,27.20
우리금융지주,"11,780",상승120,+1.03%,"5,000","85,766","728,061",39.87,"276,794",2.73,11.51
대한항공,"23,200",0,0.00%,"5,000","85,427","368,221",15.21,"101,178",4.84,21.95
아모레퍼시픽,"142,000","상승1,800",+1.28%,500,"83,060","58,493",25.20,"51,504",72.93,2.81
엔씨소프트,"375,500","하락1,500",-0.40%,500,"82,437","21,954",45.42,"6,257",18.92,13.73
기업은행,"10,190",상승70,+0.69%,"5,000","81,258","797,426",13.86,"124,869",2.93,9.85
KT,"30,750",상승150,+0.49%,"5,000","80,292","261,112",40.50,"64,790",6.36,7.99
카카오페이,"57,400",상승200,+0.35%,500,"76,861","133,905",43.47,"17,641",141.03,3.08
롯데케미칼,"179,200","상승1,400",+0.79%,"5,000","76,654","42,775",24.07,"8,296",104.86,0.43
메리츠금융지주,"42,350",하락500,-1.17%,500,"72,668","171,589",12.94,"42,891",5.19,30.32
KODEX 200,"33,935",상승110,+0.33%,0,"62,848","185,200",3.87,"231,893",N/A,N/A
현대글로비스,"164,500","상승2,000",+1.23%,500,"61,688","37,500",46.96,"8,663",5.18,18.78
SK아이이테크놀로지,"85,300","상승3,400",+4.15%,"1,000","60,817","71,298",7.40,"220,071",-205.05,-1.35
LG이노텍,"256,500",하락500,-0.19%,"5,000","60,706","23,667",21.07,"13,832",6.20,25.85
SK바이오사이언스,"79,000",상승500,+0.64%,500,"60,659","76,784",4.25,"26,434",49.50,N/A
한국조선해양,"85,100","상승1,000",+1.19%,"5,000","60,228","70,773",20.64,"24,262",-27.77,-2.22
넷마블,"69,200",상승200,+0.29%,100,"59,480","85,954",22.34,"9,444",-7.26,-14.56
삼성엔지니어링,"30,050",상승350,+1.18%,"5,000","58,898","196,000",46.54,"69,550",8.86,28.32
