title,current price,full day fee,fluctuation rate,face value,market cap,number of listed shares,foreigner ratio,trading volume,PER,ROE
삼성전자,"65,300",0,0.00%,100,"5,969,783","3,898,268",51.52,"12,360,430",8.10,17.07
LG에너지솔루션,"593,000","2,000",+0.34%,500,"234,000","1,387,620",5.40,"206,660",179.43,5.75
SK하이닉스,"87,700",800,-0.90%,"5,000","728,002","638,458",49.54,"1,334,349",28.63,3.56
LG화학,"818,000","13,000",+1.61%,"5,000","70,592","577,445",48.44,"314,489",34.70,6.95
삼성바이오로직스,"792,000","20,000",-2.46%,"2,500","71,174","563,698",10.71,"70,804",69.41,11.42
삼성SDI,"764,000","9,000",+1.19%,"5,000","68,765","525,361",49.44,"253,881",27.55,12.52
삼성전자우,"55,600",100,-0.18%,100,"822,887","457,525",71.67,"790,593",6.90,N/A
현대차,"190,100","4,900",-2.51%,"5,000","211,532","402,121",31.26,"828,368",7.15,9.36
POSCO홀딩스,"415,000","8,500",-2.01%,"5,000","84,571","350,971",41.54,"2,215,871",11.38,6.11
기아,"82,500","2,000",-2.37%,"5,000","405,363","334,425",36.99,"1,877,799",6.18,14.57
NAVER,"192,500","4,500",-2.28%,100,"164,049","315,794",47.54,"913,543",41.54,3.29
포스코퓨처엠,"387,000","2,500",+0.65%,500,"77,463","299,783",8.45,"2,231,513",253.44,4.87
카카오,"58,900","1,200",-2.00%,100,"445,657","262,492",26.17,"1,519,196",19.39,13.54
셀트리온,"170,700","4,800",-2.74%,"1,000","140,819","240,379",20.33,"529,779",46.42,13.35
현대모비스,"223,500","4,500",-1.97%,"5,000","94,285","210,727",36.75,"179,410",8.50,6.80
삼성물산,"107,600",900,-0.83%,100,"186,887","201,090",17.60,"190,849",9.92,7.16
KB금융,"48,250",150,-0.31%,"5,000","408,897","197,293",71.67,"664,306",4.52,9.17
LG전자,"111,200","1,000",-0.89%,"5,000","163,648","181,976",27.97,"858,475",16.81,6.61
신한지주,"35,250",250,-0.70%,"5,000","505,108","178,051",62.41,"769,112",4.03,9.70
SK이노베이션,"187,500","6,000",-3.10%,"5,000","92,466","173,373",23.97,"984,022",11.20,8.49
LG,"91,200","2,800",+3.17%,"5,000","157,301","143,458",35.66,"363,999",7.39,8.48
삼성생명,"64,600",100,-0.15%,500,"200,000","129,200",15.52,"122,033",8.16,5.73
SK,"169,800",200,-0.12%,200,"73,198","124,291",23.33,"135,556",11.55,5.13
하나금융지주,"41,850",350,+0.84%,"5,000","295,903","123,836",70.89,"532,335",3.50,10.06
두산에너빌리티,"18,650",650,-3.37%,"5,000","638,308","119,044",13.13,"9,905,383",-14.96,-11.70
한국전력,"18,430",500,-2.64%,"5,000","641,964","118,314",14.47,"1,425,535",-0.48,-46.91
KT&G,"85,600","1,300",+1.54%,"5,000","137,292","117,522",44.20,"465,173",11.57,11.00
카카오뱅크,"23,700",100,-0.42%,"5,000","476,767","112,994",13.49,"958,580",42.86,4.68
삼성전기,"147,100","4,700",-3.10%,"5,000","74,694","109,874",30.01,"570,758",11.64,13.76
고려아연,"546,000","10,000",-1.80%,"5,000","19,863","108,453",21.86,"38,493",13.46,9.38
하이브,"258,500","1,500",-0.58%,500,"41,353","106,898",17.19,"217,751",204.35,1.87
HMM,"21,650",300,+1.41%,"5,000","489,039","105,877",11.09,"2,020,802",1.05,64.98
LG생활건강,"677,000","30,000",+4.64%,"5,000","15,618","105,735",34.93,"100,152",50.70,4.41
SK텔레콤,"48,250",100,+0.21%,100,"218,833","105,587",44.09,"300,146",11.57,7.97
삼성화재,"211,500","5,000",+2.42%,500,"47,375","100,198",51.88,"81,152",8.35,9.70
HD현대중공업,"105,200",500,-0.47%,"5,000","88,773","93,389",6.28,"108,077",-26.53,-6.47
한화솔루션,"54,300","2,000",+3.82%,"5,000","171,893","93,338",24.71,"4,391,570",29.13,4.21
크래프톤,"188,700",500,-0.26%,100,"49,237","92,911",30.53,"98,049",18.51,10.29
삼성에스디에스,"117,600",300,-0.25%,500,"77,378","90,996",15.45,"78,848",8.27,14.23
S-Oil,"80,600",900,-1.10%,"2,500","112,583","90,742",79.85,"191,815",4.47,27.20
대한항공,"23,250",100,-0.43%,"5,000","368,221","85,611",15.20,"929,880",4.85,21.95
우리금융지주,"11,650",80,+0.69%,"5,000","728,061","84,819",39.83,"1,489,409",2.70,11.51
엔씨소프트,"375,000","2,000",-0.53%,500,"21,954","82,328",45.32,"115,687",18.89,13.73
